content,score
"Saya baru menggunakan aplikasi ini, Menurut saya masih banyak kekurangannya,tidak bisa tarik tunai non kartu,notifikasi setiap transaksi uang keluar n masuk jarang muncul,dipengaturannya paling kecil 500ribu untuk notifnya tpi jarang muncul jga klw ada transaksi.beda sama Brimo setiap ada transaksi selalu muncul notifikasinya walaupun transaksi 10.000 rupiah.kalau yg mobile banking BNI saya tidak tau,karna kemarin langsung di buatkan wondr sama CS bank BNI nya.🙏🙏🙏",2
"Saya tidak puas dengan menu atau pelayanan nya ..tidak lengkap seperti di BNI banking yang lama..di sini banyak menu yang tidak tersedia..salah satu nya,gopay driver tidak ada,kami butuh gopay driver,gopay custumer,ovo dan lain lain..nyesal sekali saya hapus banking yang lama..wonder ini tak pantas..tak cocok..sangat menyesal pakai windr..",1
"Aplikasinya gapernah bisa waktu suruh verifikasi wajah gapernah bisa selalu gagal, payah padahal sudah tempat terang dan jelas terlihat wajah, sudah saya coba tepat dibawah lampu pun tetap tidak bisa lawak lawak, pokoknya sangat menjengkelkan waktu verifikasi wajah dari sudut pandang manapun biarpun wajah sudah sejelas jelasnya tetap gagal terus dan anehnya kenapa harus nunggu 1hari untuk verifikasi lagi, balasannya cuma itu"" saja dari cs padahal sudah jelas banget apk gak guna, jengkel sekali",1
"Aplikasinya tampilannya oke dari sebelumnya. Lebih simpel dan cepat.untuk transaksi pakai pin aja yg sebelumnya pakai password yg ribet. Mobile tunainya belum ada dicari-cari ga ketemu.kalopun nanti ada verifikasinya pakai token aja, aplikasi sebelumnya memakai pulsa SMS.kalo ga punya pulsa ga bisa tarik tunai.bank sebelah tarik tunai cuman pakai token.sekian terima kasih.",4
Tampilan lebih smooth dari aplikasi BNI mobile sebelumnya. Sayangnya fitur masih kurang lengkap. Untuk limit tolong dong di Up. Saya sudah bertransaksi melalui mobile banking sebesar 100 JT. Setelah mencoba di Wondr malah limit habis. Padahal di aplikasi mobile masih bisa.,3
"3 dulu nanti balik lagi kalau udh beres bugnya, karena setiap verifikasi face id selalu gagal sedangkan saya sudah mengikuti saran prosedur yg tertera.(Sesuai frame, fokus camera, tidak backlight, tidak menggunakan accessories) Di layarnya di minta datang ke cabang, kemudian saya datang ke cabang terdekat, customer servicenya malah bingung karena verifikasi data sudah sesuai dan kemudian follow up ke bagian ITnya, lalu di saran mencoba lagi sore atau besok hari. Ternyata masih belum bisa.",3
"sementara bintang 4 dlu, karena untuk pembayaran pdam dll masih belum lengkap, terlebih pdam daerah saya belum ada di aplikasi edit: pas edit ini dibuat, pilihan pembayaran PDAM daerah saya sudah ada, cuman ada beberapa kendala gabisa cek, padahal udah benar nomor seri untuk mengeceknya, cuman di aplikasi, tidak bisa.",5
"Untuk top up e wallet, dibatasi 2 juta melalui menu utama maupun quick access, kata nya menu utama bisa lebih ternyata tetap 2jt juga, kalau BNI mobile bisa banyak.",4
"Teruntuk wondr by BNI aplikasi nya sih cukup simpel gk ribet, tapi fitur2 nya kurang lengkap, tarik tunai aja blm ada, dan saya gk sukai setelah saya buka rekening di online, terus saya mau cetak kartu fisik Taplus muda di kantor cabang, eh malah di arah kan di mesin pergantian kartu malah kena biyaya 25000,padahal kan saya mau cetak kartu bukan mau pergantian kartu. Malah di arahkan buka rekening baru dapat kartu silver biyaya 15000 total nya 40,000. Bni kurang memuaskan.mksh",2
"Untuk aplikasi Baru ini sudah sangat sangat sangat baik, semenjak ada aplikasi ini aku jadi lebih seneng pakai BNI buat transaksi baik transfer, QR, Top up dan bayar tagihan, semoga kedepannya makin baik yaa, Saran semoga kedepannya ada pilihan tema bisa terang atau gelap atau bisa mengikuti keadaan jadi kalo pagi Ada sinar matahari, kalo siang juga sore juga, kalo malam ada bulan dan bintang gitu hehe, sukses terus yaa BNI☺️🙏",5
Kalo mau migrasi lebih baik disiapkan terlebih dahulu fitur2nya . Jangan separoh2 begini . Mau setor / tarik tunai lewat wonder tapi ga ada fiturnya . Pake aplikasi lama (bni mbanking) udah ga bisa. Hadeh ribet amat,1
"Bagus dan samgat membantu, memudahkan dalam transaksi keuangani, simpel tidak ribet ringan saat membuka aplikasi dan lancar, sebagai pengguna setiap hari saya belum ada kendala dan selalu berhasil, fiturnya banyak",5
"Sudah di coba,malah sudah dapat tulisan terlalu banyak mengirimkan kode otp ,tp tidak mendapatkan kode,yang ada hanya tulisan maaf ada kendala di sistem kami,dah lah malas ga guna juga,sudah ada mobile banking bni yang lama,lagian ini juga tidak bisa buat transaksi tarik tunai,satu hal yang ingin saya sampaikan KEBANYAKAN GAYA tapi FASILITAS BURUK,bikin ribet aja",1
"Apaansi, terkini terkini tp menu ga lengkap Gabisa buat bayar biaya pendidikan malah harus pakai dua aplikasi jadinya. Semoga bisa ditingkatkan lg ya, ini menunya bener bener ga lengkap",2
"Saya suka banget sama aplikasinya! Desainnya keren dan fiturnya mudah digunakan. Cuma notifikasinya aja yang kurang, karena baru muncul kalau transaksinya di atas atau sama dengan Rp 500.000. Semoga kedepannya bisa diubah biar semua transaksi kelihatan, berapapun nominalnya.",5
"Aplikasi payah. Verifikasi email aja ga jelas. Email verifikasi masuk setelah waktu Verifikasi habis. kan kocak. saya pun sudah cek performa hp saya, semua nya berjalan baik. Perbaiki layanan kalian itu, kaya ga becus kasih pelayanan..",2
"Tim sedang perbaiki sistem, bisa login. Tapi mengalami kendala ketika mau bertransaksi. Terus aplikasi saya download kembali. Bagaimana solusi dan data saya bisa kembali lagi dan bisa dipergunakan kembali. Terima kasih",3
"Pertama download BNI Ebanking bisa setor tunai tapi susah tarik tunai, tapi sudah 3 hari tidak bisa setor tunai disuruh pindah ke wondr by BNI setelah di download tak juga bisa setor tunai juga. Aplikasi masih tahap pengembangan, aduh ancur auto pindah aplikasi..",1
"Fitur kurang lengkap..di banding BNI mobile,masih banyak yg kurang... untuk mencari bukti transaksi nggak ada..dan juga pembukuan histori nya dr Mingguan , bulanan nya jg nggak ada.. menurut saya masih lebih bagus BNI mobile sii..",2
"Mungkin untuk laporan keluar masuknya seperti di buku tabungan ada saldo defisit Jd tau rinciannya dengan jelas, untuk metode pembayaran q-ris masih terdapat bug dimana tidak bisa untuk scan pembayaran (tf) dari bank BNI yg lain",3
"Kapan ada Pembaruan untuk Apps ini? Masih banyak yang Belum Sempurna di Apps ini, Masih Kalah jauh dengan Apps BNI mobile yang lama, Untuk Aplikasi saya suka dan Cukup Bagus tapi masih Banyak juga Kekurangannya, Di tunggu untuk Update terbarunya untuk Wondr",5
"Ralat 3 hari... udah 3x coba gagal terus... udah diikuti semua, dekat kan wajah, tengok kanan, atas, kiri sama aja ending nya ga bisa lanjut... parah... udah enakan pake aplikasi lama aja..",1
"Suka ngelag jadi terhambat proses mau cek saldo, transaksi dll..lebih bagus aplikasi nya dari yang sebelumnya dan menunya simple, tapi yamg sebelumnya tidak pernah ngelag.mesti di perbaiki lagi..bintang 2 dl nanti kasih full jika sdh di perbaiki",2
"Parah banget, cepet banget. Awalnya bingung apanya yg cepat transaksi. Ternyata pas cobain transaksi lewat wondr ini, kaget banget. Gak bisa sih ni, transaksi bakal sering pakai wondry aku nih. Semoga makin bagus lagi wondr biar aku yang coba transaksi yang lain di buat kaget tarus.",5
Belum ada fitur pinjaman/jumlah pinjaman sperti aplikasi lama.. Lebih lengkap aplikasi yg lama... Semoga segera diperbaharui dngan menambahkan fitur jumlah pinjaman...,4
"UI UX nya bagus, kekinian. Pilihan settingan nya juga mudah. Semoga bisa mudah untuk segala usia ya. Sukses Terus. Kalo ada kendala, segera diatasi ya. Biar bisa dan tetep jadi no 1 pilihan Nasabah Lokal maupun Mancanegara",5
"permisi kak,ini kan saya beli paket data,saya sudah beli terus saya dapet notifikasi transaksi ""belum berhasil"" dan ada tanda ""X"", ada tulisan ""Coba transaksi beberapa saat lagi ya!"" jadi saya kira transaksi nya gagal,ketika liat saldo saya malah mengurang,saya beli paket data seharga 49.500 tiga kali jadi saya kehilangan 148.500 kak ,saya sudah kirim bukti transaksi nya dari wa BNI,di mohon untuk solusi nya kak🙏",2
"Hanya bagus ditampilan, mbangking lama lebih baik lebih aman, aplikasi wondr masih dlm pengembangan sudah di launching alhasil merugikan nasabah saya sudah 4 kali pembayaran dgn Qris wondr pembayarannya tdk berhasil tpi saldo di rekening sudh berkurang beda dgn mbangking lama klau traksi gagal dananya refund sendiri ...",1
"Tolong perbaiki di sistem verifikasi wajah, sangat2 menjengkelkan udh berhasil malah ada kendala sistem, berulang2 kali selalu begitu Padahal jaringan data wifi full sinyal, saya uninstal sementara",3
"Sering error 🙂 gabisa login bahkan pake jaringan data atau wifi sama aja padahal jaringan bagus bagus aja kok. Selalu muncul keterangan ""Ada sedikit kendala"" terus dari kemarin sore. Dan gabisa masuk",2
"Kenapa saya saat cek nomer rekening, angka Nol depannya hilang ya? saya jadi bingung.. Tolong diperbaiki dan dicek lagi untuk keterangan nomer rekeningnya. Tampilannya kurang nyaman di mata saya yang silinder, asli bikin perih di mata dan pusing. Lebih nyaman dengan aplikasi yang lama..",4
"Klo di Mbanking sebelumnya ada fitur simpan transaksi spt contoh bisa simpan nomor hp, listrik, daftar transaksi, dll. Jadi gaperlu isi data nomor hp, listrik, berulang kali tiap mau transaksi. Tapi d wondr ga ada fitur, atau barangkali saya yg belum paham. Mohon penjelasannya, nanti saya kasih bintang 5",3
"Dari kemarin kok verifikasi verifikasi wajah terus TDK bisa terbuka.... ini aplikasi belum siap edar kayaknya,tolong di benahi lagi dong kualitasnya.... Kalo kayak gini mendingan masih pakai yang BNI mobile banking. Masak aplikasi penggantinya tambah jelek. Verifikasi wajah masih belum bisa,tolong developernya perbaiki dulu aplikasinya..",1
"Aplikasi Wondr by BNI sangat membantu, namun saya menyarankan agar loginnya menggunakan PIN daripada sandi. Menggunakan PIN akan lebih cepat dan mudah diingat, sehingga mempercepat akses dan meningkatkan kenyamanan pengguna. Semoga saran ini bisa dipertimbangkan untuk pembaruan berikutnya. Terima kasih!",4
"Sebagai nasabah cukup lama di BNI, saya cukup puas. Tampilan aplikasi yg lebih fresh dan sesuai. Bisa bersaing disegi UI aplikasi. Tapi sayang aplikasi BNI Mobile kabarnya mau dimatikan, banyak kenangan disana.",5
"Registrasi mudah untuk nasabah baru, aplikasi juga simple tapi begitu transfer untuk isi saldo di wondr kenapa gak masuk yaa padahal transaksinya berhasil saya cek di riwayat transaksi juga gak ada pemotongan kenapa begitu, saya udh email di bni tapi belum di balas juga sampai sekarang. Padahal udh bagus aplikasinya",2
Sampai tulisan ini dibuat belum ada kendala apapun. Saya sudah melakukan beberapa transaksi semuanya berjalan dengan lancar tanpa loading sedikitpun! Tinggal tambahkan fitur Setor/Tarikan tunai tanpa kartu di aplikasi plus tanpa permintaan kode OTP lagi!! Terimakasih BNI !!!!,4
"untuk fitur ya belum lengkap tidak seperti sblmnya ,masih bnyk kekurangnnya..saya cari fitur tarik tunai atau setor tunai tanpa kartu tidak ada di aplilasi wondr BNI dan screenshoot ya gk bisa dan satu lagi klw saran saya coba ganti power by bni jngn wondr by bni klw di artikan wondr bahasa inggris k indonesia artinya heran..klw power kan artinya kekuatan...hehe",4
"maaf 2 dulu, belum bisa login. susah untuk verifikasi wajah, udh 3 hari nyoba dan install ulang aplikasi tapi masih gagal. kedip mata, tengok kanan kiri atas bawah tetap gagal semua, padahal sudah sesuai dengan petunjuk yang ada, beda dengan BNI Mobile Banking sebelumnya yang cepat dalam verifikasi wajah. entah ini dari HP atau aplikasinya, yang jelas kemarin daftar melalui BNI Mobile Banking itu mudah verifikasi wajah. terimakasih",2
"pertama saya mau apresiasi dulu karena ada fitur terbaru seperti rekap pengeluaran dan pemasukan, aplikasi lebih ringan dan tampilan menjadi lebih fresh. mumgkin wajar karena ini aplikasi baru, masukan saya kedepanya perlu ditambahkan perbanyak lagi fitur seperti e-money, pembayaran pendidikan dan jika memungkinkan berkolaborasi dengan e-money lain agar pembayaran bisa terintegrasi",5
"Oke, saya akhirnya udah bisa registrasi akun secara lancar, namun lain kali tolong pada saat scan wajah ditambahin keperluan seperti kamera harus memakai mode fokus, tidak memakai efek apapun, dan sebagainya agar orang lain bisa tau semua yang diperlukan saat melakukan registrasi wajah",5
Overall lebih baik daripada BNI MOBILE BANKING. tapi hal yang membedakan sekaligus kelemahan dari wondr adalah tidak adanya fitur untuk mengubah password MPIN dan password transaksi itu saja 🙏 sisanya udah jauh melebihi BNI MOBILE BANKING,4
"Aplikasi udah bagus, tapi ntah kenapa akhir-akhir ini sering logout sendiri, transfer kadang error, semoga di perbaiki, saran tambahkan fitur untuk pembayaran lain dong. Thankss",2
"Proses verfikasi wajahnya menjengkelkan. Tidak pernah berhasil mendeteksi wajah, khususnya saat mengkedipkan mata. Mana waktu tunggu untuk coba verfikasi lagi selama 1x24 jam berikutnya. Jadi harus menunggu 24 jam lagi untuk mencoba verfikasi lagi. Saya sudah mencoba verifikasi selama 3 hari berturut-turut, tetapi selalu gagal. Saya memilih untuk uninstall aplikasinya saja. Lagi pula fiturnya tdk jauh beda, bahkan tidak ada yg lebih unggul dari fitur yg ada di mobil banking BNI.",1
"Apk nya bagus sangat membantu mudah sekali di gunakan, tapi yg aku anehin dan kesel bgt, sampe bbrapa kali verivikasi ulang, sampe bosen, Aku bermasalah sama pin wondr nya, udah di ganti bbrapa kali tidak bisa di gunakan, udah di verifikasi lagi, keluar sendiri login lagi, pas masukin password eh gak sesuai password nya, harus verifikasi kali, kan nyebelin, masalah nya udah bbrapa kali aku verifikasi, berhasil verifikasi tapi, hasilnya tetap aja tidak bisa di pake transaksi 🥲",3
"Performa sangat baik, tampilannya keren dan sangat memudahkan dalam betransaksi. Bisa melihat histori transaksi dengan mudah juga ada menu Insight yang sangat menarik untuk melihat pemasukan dan pengeluaran. Pokoknya mantap.",5
"Tampilan menarik, akses mudah dan cepat.Sejauh ini dirasa cukup praktis.Kedepan semoga menu semakin lengkap sehingga dapat mengakomodir semua kebutuhan nasabah dalam satu genggaman.",5
"Aplikasinya cepat, gk lambat. Top up juga gk susah2 masukin password. Cuma pke pin. Next tingkatin fitur tanpa menurunkan kualitas kecepatan respon app ya. Sukses BNI",5
"Masih perlu di upgrade lagi, contoh aja fitur mobile tunai yang sangat membantu transaksi cardles malah lenyap, aku cari-cari tidak ketemu. Belum matang untuk di launchingkan. Perbaiki dulu deh!",1
"Selamat siang . Aplikasinya kenapa tdk bsa di gunakan? Verifikasi datanya selalu ada kendala dan diminta coba lagi, tapi tetap tidak bisa. Padahal pengisian datanya sudah benar semua. Mohon bantuannya. Terimakasih",2
Yang namanya aplikasi pengganti sudah barang tentu dan pasti harus lebih baik dalam banyak hal dari aplikasi pendahulunya. Salah satu hal yang belum saya dapatkan di wondr adalah belum adanya fitur penggantian PIN untuk kartu kredit artinya apa masih sama dengan aplikasi BNI Mobile Banking yang ada.,3
Sayang sekali untuk apknya ngak bisa di hubungkan dari BNI Mobile padahal tampilannya dan segi transaksi sama2 aja...masa iya harus ke BNI buat perbaiki data semetara BNI Mobilenya ngak ada masalah...harusmya otomatis aja kalo punya BNI Mobile...,1
"Aplikasinya bagus, cuma lebih enak kalo buat masuk ke aplikasinya pake biometrik+pin aja, lebih simple, kalo transaksi baru pake pasword kaya mbanking yang lama. Agak ribet kalo cuma mau masuk aplikasi terus gagal pake biometrik harus masukin password.",4
"Kalau belum siap lebih baik jangan dirilis dulu, terlalu sering maintenance. Padahal nasabah ke bank dipaksa install aplikasi ini. Menyusahkan ketika mau melakukan pembayaran tapi aplikasi ini gangguan. Ampas",1
"Apk sudah bagus dan selama pakai aman"" saja cuman untuk menu transaksi bisa ditambah lagi seperti pembayaran biaya pendidikan mohon dengan sangat",5
"Tolong dong ini fitur verifikasi wajah nya di update.. muka sdh di depan kamera masih blm bisa terverifikasi, kalo ngga bisa di update tolong hps saja fitur nya ganti sama sidik jari atau gausah sama sekali",1
"Tolong saya sudah 3 hari nyoba verifikasi wajah gagal mulu, yg bisa cuma yg kedip mata tapi udah jarang, udh ikutin instruksi, udh pake tripod, mata melotot dibawah sinar matahari jam 12 fokus kamera pun ga bisa bisa.",1
"Kenap dihp saya tidak bisa terbuka yaah ,saya sudah coba u instal dan instal kembali beberapa kali ,tp ttap gak bisa di buka , hanya ada tulisan mohon coba kembali , beberapa kali saya instal dan uinstal , hanya tertera tulisan Ada sedikit kendala Tim kami lagi perbaiki. Yuk,coba lagi !",1
"Wondr by BNI aplikasi terbaru yg simpel dan detail, mantap deh pokoknya cuma belum semua fitur ada di aplikasi ini mungkin karna masih baru yaa. Semoga terus berkembang untuk Aplikasinya😊👍🏼",5
